CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-03-31;1;Ativo Total;4249872.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-03-31;1;Ativo Total;6119077.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-03-31;1.01;Ativo Circulante;1996487.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-03-31;1.01;Ativo Circulante;2051383.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-03-31;1.01.01;Caixa e Equivalentes de Caixa;1242658.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-03-31;1.01.01;Caixa e Equivalentes de Caixa;999121.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-03-31;1.01.02;Aplicações Financeiras;57792.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-03-31;1.01.02;Aplicações Financeiras;14149.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-03-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;57792.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-03-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;14149.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2022-03-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2023-03-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S
